RUT,PERIODO,MATERIA,CURSO,CALIF
1,202020,DEF,312,4.1
1,202020,DEC,243,3.1
1,202020,DER,250,4.3
1,202020,DER,244,4.0
1,202020,DEM,269,2.0
2,202020,DEF,312,4.1
2,202020,DEC,243,3.2
2,202020,DER,250,2.2
2,202020,DER,244,2.5
2,202020,DEM,269,2.1
2,202022,DEM,270,3.4
2,202022,DER,251,3.1
2,202022,DEP,296,4.2
2,202022,DEZ,255,4.0
2,202022,DEC,248,2.0
3,202020,DEF,312,5.6
3,202020,DEC,243,5.5
3,202020,DER,250,6.0
3,202020,DER,244,5.4
3,202020,DEM,269,5.0
3,202022,DEM,270,6.0
3,202022,DER,251,5.8
3,202022,DEP,296,6.2
3,202022,DEZ,255,5.7
3,202022,DEC,248,4.8
4,202020,DEF,312,4.1
4,202020,DEC,243,5.0
4,202020,DER,250,4.5
4,202020,DER,244,4.2
4,202020,DEM,269,3.0
